"name","wardnum","title","adminward","ER_A","ER_B","voters","male_voters","female_voters","total_polling_buildings","total_polling_stations","PB.building","PB.SRA","PB.road","PB.electrical","PB.drainage","PB.water","PB.total","areas"
"Ward 31",31,"Shivane - Warje - Ramnagar","Warje Karvenagar","Dilip Barate (INC)","Lakshmi Dudhane(NCP)",37688,20364,17324,18,47,1200000,800000,400000,400000,400000,0,3200000,"Warje Gaonthan, Shivne, Malwadi, Ramnagar, Cummins College, Warje Shahu Colony etc"
"Ward 32",32,"Karvenagar - Gosavivasti","Warje Karvenagar","Surekha Makwan (MNS)","Rajesh Barate (MNS)",31113,16456,14657,20,39,800000,800000,400000,1200000,400000,0,3600000,"Sahavas Society, Paschimanagari, HinganeStriKshishanSanstha, MatoshriOldage Home, Karvenagar, Chitra Society, Gosavi Vasti etc."
"Ward 33",33,"Dahanukar Colony","Warje Karvenagar","Yogesh Mokate (SS)","Sangita Deshpande (SS)",30856,15545,15311,11,36,400000,1200000,800000,800000,800000,0,4000000,"Kothrud Gaonthan, Tejas Society, tejas Nagar, happy Colony, Dahanukar Colony, Gandhi Bhawan, Lakshmi Nagar Slums, Rahul Nagar, Cummins Company, Kothrud Ward Office etc."
"Ward 34",34,"Gujrat Colony","Kothrud","Pruthviraj Sutar (SS)","Monika Mohol (BJP)",29451,14882,14569,18,36,1600000,800000,1600000,0,0,0,4000000,"Thorat Garden, Gujarat Colony, New Ajantha Avenue, Alanakapuri Society, Prashant Society, Anand Nagar, Ideal Colony, Mayur Colony etc"
"Ward 35",35,"Deenanath Mangeshkar Hospital","Warje Karvenagar","Prashant Badhe (SS)","Medha Kulkarni (BJP)",31643,15701,15942,14,42,400000,1600000,0,0,0,0,2000000,"Girija shankar Vihar Society, Swapnashilp Society, Patwardhanbaug Society, Navsashyadri Society, Major Tathavde Garden, Dashbhuja Ganpati, Karishma Society, MehendaleGaraje, DinanathMangeshkar Hospital etc."
"Ward 36",36,"Kamla Nehru Park","Ghole Road","Anil Rane (MNS)","Madhuri Sahastrabuddhe (BJP)",28693,13985,14708,10,34,800000,800000,800000,800000,800000,0,4000000,"Deccan Gymkhana, Kamala Nehru Garden, Garware College, AyurvedRasshala, P.Y.C. Ground, Sharada Centre, B.M.C.C. College, Balbharati, Law College, Film Institute, Amar Society, SNDT College, Symbiosis , Abhinav High School, Dr. Babasaheb Ambedkar Museum, e"
"Ward 37",37,"Shaniwarwada","Kasba Vishrambagwada","Hemant Rasane (BJP)","Mukta Tilak (BJP)",33922,16591,17331,11,40,1920000,0,640000,1440000,0,0,4000000,"Shaniwar Wada, Nana Wada, Prabhat Talkies, Jogeshwari Temple, Faraskhana Police Station, NMV School, Chintamanrao Patwardhan High School, Girls High School, Kesari Wada, Vijay Talkies, Gogate Prashala, LIC Building, Ashtbhuja Temple, Navin Marathi high sh"
"Ward 38",38,"Kasba Peth","Kasba Vishrambagwada","Anita Dakhawe (MNS)","Ravindra Dhangekar (MNS)",35904,17606,18298,10,42,400000,1200000,800000,800000,400000,400000,4000000,"Kasaba Ganpati Temple, Lal Mahal, Surya Hospital, Rajmata Jijabai High School, Tilak Ayurvedic College, Aryabhushan Theatre, Prarthana Samaj, Bhide Wada etc."
"Ward 39",39,"KEM Hospital","Bhawani Peth","Sonam Zende (SS)","Ganesh Bidkar (BJP)",30322,15145,15177,14,33,1200000,0,2000000,0,400000,400000,4000000,"Shri Trishund Ganpati Temple, Rasta Peth Education Society Highschool, KEM Hospital, Agrawal Highschool, Raste Wada, Nageshwar Temple, Apolo Talkies, Tarachand Hospital, Nivdungya Vithoba Temple, Parashi Agyari etc."
"Ward 40",40,"Collectorate","Dhole Patil Road","Kalpana Bahirat (MNS)","Arvind Shinde (INC)",25854,13162,12692,14,30,400000,800000,800000,1600000,0,400000,4000000,"Pune Railway Station, Alankar Cinema, Mhada Office, Inox Talkies, Incometax Office, Central Building, Moledina Hall Parking, Dr. Babasaheb Ambedkar Garden, Sasoon Hospital, Dr. Babasaheb Ambedkar Bhavan, District Office, GPO, Commissioner Office, Rasta Pe"
